,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
467,JELENIA GÓRA,1994,12,13.0,-10.1,5.0,-2.1,1.8,33.7
468,JELENIA GÓRA,1995,1,11.3,-19.0,1.8,-5.5,-1.5,39.5
469,JELENIA GÓRA,1995,2,14.3,-8.4,7.7,-0.3,4.0,30.4
470,JELENIA GÓRA,1995,3,16.1,-7.5,7.2,-2.1,2.3,41.3
471,JELENIA GÓRA,1995,4,25.6,-1.8,13.0,3.1,7.6,46.9
472,JELENIA GÓRA,1995,5,27.2,-2.4,17.4,4.7,11.3,101.9
473,JELENIA GÓRA,1995,6,27.3,4.1,19.5,9.0,14.0,105.8
474,JELENIA GÓRA,1995,7,33.0,6.2,26.1,11.5,19.0,54.3
475,JELENIA GÓRA,1995,8,29.7,5.6,23.4,10.0,16.5,138.5
476,JELENIA GÓRA,1995,9,23.5,-1.7,17.0,7.3,12.0,99.8
477,JELENIA GÓRA,1995,10,26.3,-4.3,16.6,4.4,10.0,8.5
478,JELENIA GÓRA,1995,11,10.9,-16.3,4.0,-4.4,-0.1,79.3
